timestamp,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type
1695116266,1952648.3333333333,44649605485.0,51250713592.0,291.0,1
1695116269,1976183.9999999998,44633135312.33333,51605806696.0,292.0,1
1695116272,1953572.6666666667,44611658570.66667,49965313869.666664,293.0,1
1695116275,2205383.3333333335,44793946996.99999,48874511200.0,292.0,1
1695116278,2004457.0,44897394966.00001,51092116774.0,292.0,1
1695116281,2139165.6666666665,44810752284.66667,51559991437.0,293.0,1
1695116284,1151764.3333333333,20615104247.333336,19767402405.666664,179.0,1
1695116287,286987.6666666666,345401720.6666666,338737873.6666667,171.0,1
1695116290,168097.33333333334,331859227.6666666,234797459.33333334,171.0,1
1695116293,341231.6666666666,419998476.6666666,346921562.3333334,171.0,1
1695116296,918543.0,727725499.6666667,691652989.0,171.0,1
1695116299,784932.3333333333,1795314978.6666667,1029924669.0,290.0,1
1695116302,2431031.666666667,44475777187.666664,50623214904.0,291.0,1
1695116305,1981296.0,44483903026.0,51582926056.333336,290.0,1
1695116308,2181726.6666666665,44632185402.66667,50719017734.33333,289.0,1
1695116311,2030354.0,44710990098.333336,49903820314.0,291.0,1
1695116314,2163429.0,44713166743.0,50155996475.666664,293.0,1
1695116317,2376129.666666667,44638342579.666664,50561338036.66667,291.0,1
1695116320,2108479.6666666665,44700861270.333336,50158543039.00001,291.0,1
1695116323,2595308.333333333,44863080410.33333,50239526681.666664,294.0,1
1695116326,2129871.6666666665,44867975533.0,50767468426.0,290.0,1
1695116329,973217.6666666667,18957224689.0,17689785627.666664,171.0,1
1695116332,415826.3333333333,498244209.6666666,357099845.0,171.0,1
1695116335,391936.0,392188610.0,324094126.3333333,171.0,1
1695116338,335425.3333333333,338643842.0,347308613.0,171.0,1
1695116341,363368.3333333334,292844907.3333334,302926590.0,171.0,1
1695116344,900597.6666666666,12800470661.333334,5656435132.0,242.0,1
1695116347,374662.6666666666,27066278949.333332,15393347767.0,242.0,1
1695116350,408138.0,26772365513.333332,15920760713.333332,244.0,1
1695116353,432502.0,27921229686.666664,15666971883.333334,243.0,1
1695116356,460268.6666666666,27692795434.0,15426404132.333334,244.0,1
1695116359,412863.0,27969964484.333332,16624880022.666666,244.0,1
1695116362,281168.3333333333,27456607958.666668,16159301194.0,244.0,1
1695116365,551505.0,27181147071.666668,15616351386.0,246.0,1
1695116368,326664.0,26919615006.333332,15892327757.666668,244.0,1
1695116371,391498.3333333334,26758693755.666668,15777108551.666666,243.0,1
1695116374,564782.0,12149209481.666666,6624311383.0,173.0,1
1695116377,296621.0,482898667.0,283035937.6666667,172.0,1
1695116380,254546.33333333334,353179462.6666667,203687437.3333333,171.0,1
1695116383,267574.0,299030719.3333334,390145947.3333334,171.0,1
1695116386,538536.0,538630116.3333333,481828958.6666667,171.0,1
1695116389,661189.3333333334,16715325029.0,6173454530.666666,273.0,1
1695116392,450751.3333333334,36062642825.33333,24463551217.333332,275.0,1
1695116395,502941.6666666667,34746291514.666664,23842977112.333332,275.0,1
1695116398,473380.3333333333,36102518917.66667,25487672164.666664,275.0,1
1695116401,429337.3333333333,35947209542.333336,24852773522.666664,276.0,1
1695116404,471355.0,35413131983.333336,23553711098.333332,274.0,1
1695116407,524024.0,36941489018.666664,24816607782.333332,276.0,1
1695116410,545024.3333333333,35495232039.66667,23996347759.666668,277.0,1
1695116413,459220.6666666667,35602229244.333336,23926028941.666664,276.0,1
1695116416,923317.0,36381630816.0,25625567165.0,277.0,1
1695116419,501929.6666666666,9163461173.0,6759369520.666667,171.0,1
1695116422,425174.6666666666,397444453.6666666,308540503.0,173.0,1
1695116425,339520.3333333333,366670155.0,201882730.0,174.0,1
1695116428,224491.33333333334,329758091.3333334,184889591.0,171.0,1
1695116431,324485.0,461403593.3333333,240049458.6666667,171.0,1
1695116434,898990.0,13237703044.0,4584078699.666667,332.0,1
1695116437,963544.3333333333,51402203341.33333,39596357548.666664,339.0,1
1695116440,745391.6666666667,50580925725.666664,39969443888.666664,339.0,1
1695116443,962085.6666666666,50608111617.33333,40263812962.333336,339.0,1
1695116446,1622923.0,51155895747.0,40083609766.66667,341.0,1
1695116449,841778.3333333333,50696993286.666664,39290916099.333336,339.0,1
1695116452,751008.3333333334,50496027905.0,39143015178.333336,340.0,1
1695116455,810385.3333333334,51093370936.0,39206491843.333336,343.0,1
1695116458,863466.6666666666,50746647339.33333,39947036080.66667,343.0,1
1695116461,803844.3333333334,51005658097.33333,40239899497.33333,344.0,1
1695116464,638765.3333333334,28784773547.333336,21466285984.0,230.0,1
1695116467,676534.3333333333,651438750.6666666,456551417.3333333,174.0,1
1695116470,379613.0,438321456.6666667,320065360.0,171.0,1
1695116473,243070.0,331229203.0,210430953.3333333,171.0,1
1695116476,390824.6666666666,399800144.6666667,322800883.6666667,171.0,1
1695116479,989200.0,7674403730.666666,3583599536.3333335,343.0,1
1695116482,1484020.3333333333,52501979642.666664,51181390053.0,355.0,1
1695116485,1640722.0,53572868032.666664,50340549055.333336,357.0,1
1695116488,1642077.0,53273881877.66667,52392429989.0,357.0,1
1695116491,1695011.6666666667,52364339241.99999,50729278772.66667,357.0,1
1695116494,1596128.3333333333,53936397473.666664,51180010052.0,359.0,1
1695116497,1759795.0,53120794202.0,52870311893.0,359.0,1
1695116500,1487287.3333333335,52173813210.333336,51748477176.0,359.0,1
1695116503,1551791.6666666665,54178660337.0,51282572828.0,360.0,1
1695116506,1841151.3333333335,52988226375.333336,51407071818.666664,361.0,1
1695116509,1258294.3333333335,31146935627.333336,30067736540.666668,269.0,1
1695116512,627514.6666666667,551346407.6666666,295688899.0,173.0,1
1695116515,248072.3333333333,329311525.6666667,180369327.66666666,171.0,1
1695116518,327989.0,434699454.0,224014091.66666666,174.0,1
1695116521,315292.0,424247800.3333334,183897077.66666666,171.0,1
1695116524,1020814.6666666667,2813072166.0,1032760717.3333333,301.0,1
1695116527,2687861.0,54581311998.0,61288618749.33333,364.0,1
1695116530,2913243.6666666665,52075659242.66667,60643047973.333336,365.0,1
1695116533,2611221.6666666665,52666690155.33333,61723409608.66667,365.0,1
1695116536,2554141.3333333335,54591218627.66667,61728053198.33333,367.0,1
1695116539,2396458.6666666665,52163187374.333336,61057868218.333336,367.0,1
1695116542,2413464.0,52541275567.0,60747304442.666664,368.0,1
1695116545,2793992.3333333335,54598346926.00001,62216799385.666664,370.0,1
1695116548,2639789.6666666665,52249994305.00001,61213388535.0,370.0,1
1695116551,2743050.0,52496875428.33333,61014298039.666664,369.0,1
1695116554,1960725.3333333333,38469295410.66667,41586218079.66667,363.0,1
1695116557,481879.3333333334,461464683.0,387890380.6666666,174.0,1
1695116560,243766.0,353248880.3333334,229563354.66666666,171.0,1
1695116563,238715.6666666667,289128581.6666667,180420891.3333333,171.0,1
1695116566,966438.6666666667,499826345.6666666,592749942.0,171.0,1
1695116569,1271357.0,2539022788.666667,1289352230.6666665,270.0,1
1695116572,3039783.6666666665,52432236896.666664,61594673479.66667,365.0,1
1695116575,2948819.666666667,54474130117.666664,61218318014.666664,366.0,1
1695116578,2826964.0,52475145596.0,61490649308.99999,368.0,1
1695116581,2711658.3333333335,52412570881.0,61495725478.333336,371.0,1
1695116584,2827286.3333333335,54409265852.33333,61329987014.333336,368.0,1
1695116587,2588548.6666666665,52559888785.333336,61404169624.66667,368.0,1
1695116590,2657038.666666667,52260635062.33333,61129713952.333336,370.0,1
1695116593,2688657.0,54320095343.333336,61474638377.0,370.0,1
1695116596,2690263.666666667,52718988784.99999,60852359889.0,369.0,1
1695116599,2084962.9999999998,38607599715.666664,41855844942.66667,219.0,1
1695116602,443459.6666666667,612304135.6666667,392634349.0,173.0,1
1695116605,301690.6666666666,476297013.3333333,217610541.3333333,171.0,1
1695116608,279598.3333333334,403219187.6666666,213872934.66666666,171.0,1
1695116611,337457.3333333334,436921319.0,333334477.3333334,171.0,1
1695116614,902264.6666666667,6305430594.0,2634848893.3333335,197.0,1
1695116617,329292.3333333334,22186841584.0,8562010952.0,210.0,1
1695116620,352080.3333333333,22233278604.666664,6889523904.333334,213.0,1
1695116623,393246.6666666666,21292977045.666668,7826375165.333333,212.0,1
1695116626,626835.3333333334,22453598426.666664,8243036751.666667,213.0,1
1695116629,414709.6666666666,20287768754.333332,7319402750.333333,213.0,1
1695116632,413331.3333333334,21274655886.666668,7057931010.0,213.0,1
1695116635,373271.6666666666,21029669162.333332,8919984263.333332,213.0,1
1695116638,331369.0,21364665514.0,6580116626.333333,214.0,1
1695116641,415598.6666666667,21899577826.333332,7875499125.333333,214.0,1
1695116644,480081.0,16318386150.0,5709759077.333334,180.0,1
1695116647,547428.3333333334,397458257.0,425844162.0,174.0,1
1695116650,261458.6666666667,225515822.6666667,210622609.0,171.0,1
1695116653,334047.6666666666,347127775.6666667,286099130.6666667,171.0,1
1695116656,323609.3333333334,264669568.3333333,228210224.33333334,171.0,1
1695116659,935394.0,3878187025.666667,1752279861.6666665,185.0,1
1695116662,412897.6666666666,25870817167.333332,8318233343.0,222.0,1
1695116665,303172.6666666666,25365730652.666668,7348098586.666667,219.0,1
1695116668,296515.0,25030428755.666668,10169875421.0,220.0,1
1695116671,226514.0,25714365739.0,6918278683.0,221.0,1
1695116674,320559.3333333334,24444356358.333332,8952342328.666666,218.0,1
1695116677,282757.3333333334,24936391240.666668,8760385771.333334,218.0,1
1695116680,304008.0,24974153047.333332,8114244577.333333,221.0,1
1695116683,230386.66666666666,24248053504.333332,7703067385.333333,220.0,1
1695116686,700932.0,26128779946.0,10448045490.666668,220.0,1
1695116689,417253.3333333333,19892041302.333332,5279297268.0,196.0,1
1695116692,397867.3333333334,414085578.3333334,251314191.66666666,171.0,1
1695116695,351562.0,279010842.3333333,131125998.66666667,171.0,1
1695116698,269736.6666666667,306097023.0,155399101.33333334,171.0,1
1695116701,235899.0,234850791.3333333,72001936.66666667,174.0,1
1695116704,920144.0,4355713262.666667,1294892510.3333335,213.0,1
1695116707,471583.0,31599973767.333336,11443048837.666668,232.0,1
1695116710,361788.0,30224295366.0,8909586336.0,232.0,1
1695116713,372500.0,30861292909.0,8756902612.333332,232.0,1
1695116716,483406.3333333333,31624500085.0,10561158262.0,231.0,1
1695116719,380136.3333333334,30114450609.333336,9645764798.666668,231.0,1
1695116722,353941.6666666666,31750872932.0,7854234946.333334,232.0,1
1695116725,612725.3333333333,30623008172.333336,11888543474.0,233.0,1
1695116728,324325.6666666667,31060307979.0,7899066232.666666,233.0,1
1695116731,315963.3333333334,31105364391.666664,9711972545.666666,234.0,1
1695116734,512492.6666666666,25958997939.666664,8942978576.0,233.0,1
1695116737,502050.0,617436183.0,385185490.3333333,171.0,1
1695116740,401650.6666666667,479637526.0,176389758.0,171.0,1
1695116743,343914.0,480513085.3333333,232051976.33333334,171.0,1
1695116746,950555.3333333335,899483264.0,575658533.0,171.0,1
1695116749,1008705.3333333333,2431626009.0,1034171465.6666667,199.0,1
1695116752,344862.0,31924144824.333336,8479629188.0,232.0,1
1695116755,436401.3333333334,32311764597.0,7985789932.0,235.0,1
1695116758,456634.3333333333,31120847206.0,10373029878.666666,234.0,1
1695116761,455243.0,32503938978.0,6945003693.0,234.0,1
1695116764,404332.3333333333,31525898826.333332,9840780382.666666,235.0,1
1695116767,527607.0,32004234923.666668,8220063980.666667,233.0,1
1695116770,394199.3333333334,32270644522.0,9033809571.666668,234.0,1
1695116773,303973.0,30988975939.333332,7849776995.0,234.0,1
1695116776,498203.3333333333,32742899233.333332,10087837267.666666,237.0,1
1695116779,491028.3333333333,30653123262.0,7169071443.333334,234.0,1
1695116782,414161.6666666666,417077382.6666667,396005053.3333334,171.0,1
1695116785,420664.0,410958033.0,413641915.0,171.0,1
1695116788,250789.66666666666,332541077.6666666,323738271.3333334,171.0,1
1695116791,298007.0,295557142.0,351330087.3333333,171.0,1
1695116794,1008730.6666666667,1933693925.6666665,1347084752.3333333,184.0,1
1695116797,497261.3333333333,32884261428.0,8355975579.333333,232.0,1
1695116800,369240.6666666666,30782258106.666664,6941246246.333333,232.0,1
1695116803,227183.66666666666,32409957511.666668,8100887074.333333,232.0,1
1695116806,539945.3333333334,31842872713.666668,8104479993.666666,234.0,1
1695116809,335531.3333333333,31234316822.333336,6935168302.000001,232.0,1
1695116812,417725.3333333333,32861478162.333332,8206068851.666667,232.0,1
1695116815,350935.6666666667,30860415112.666664,7856042329.333333,232.0,1
1695116818,394296.0,32314211234.666668,7174452485.333333,232.0,1
1695116821,295675.3333333334,31989853186.666668,8039206718.000001,232.0,1
1695116824,331963.3333333333,32821720231.333336,8422617053.0,231.0,1
1695116827,724637.0,2628283649.333333,858789843.0,171.0,1
1695116830,718870.3333333333,730230130.3333333,356561169.6666667,171.0,1
1695116833,295130.3333333333,373273120.6666667,144282139.6666667,171.0,1
1695116836,349091.0,495442409.0,237234593.66666666,171.0,1
1695116839,759115.0,767684464.6666667,300214940.6666667,171.0,1
1695116842,1015619.0,25172314201.0,6857311019.666667,232.0,1
1695116845,416794.0,30815908999.0,8133784641.666666,233.0,1
1695116848,543774.6666666667,32270308901.666664,7614537418.333333,233.0,1
1695116851,285016.0,32065483411.333332,7354577470.666666,234.0,1
1695116854,225119.66666666666,30932742217.333336,8040534868.666667,232.0,1
1695116857,233461.66666666666,33004106858.0,7734145714.000001,234.0,1
1695116860,366902.0,30974662818.333332,7206404022.666667,234.0,1
1695116863,243724.66666666666,32197364016.0,8156850052.666667,234.0,1
1695116866,426825.0,32209864824.333336,7787402061.666666,233.0,1
1695116869,371531.6666666667,30789387259.333336,7196326559.666667,233.0,1
1695116872,594170.6666666666,16179802230.666666,4847794461.0,171.0,1
1695116875,399699.3333333334,358547576.0,205697770.3333333,171.0,1
1695116878,325530.3333333333,262356808.3333333,240807709.0,171.0,1
1695116881,349060.6666666667,373858969.6666667,325183487.0,171.0,1
1695116884,451018.3333333334,507393587.3333333,353032963.0,171.0,1
1695116887,754410.3333333334,14090633443.333334,5885990810.0,223.0,1
1695116890,477532.3333333334,24627653938.333336,7226543200.0,225.0,1
